,id,movieid,filmtype
0,1,1292052,剧情
1,2,1292052,犯罪
2,3,1291546,剧情
3,4,1291546,爱情
4,5,1291546,同性
5,6,1292720,剧情
6,7,1292720,爱情
7,8,1292722,剧情
8,9,1292722,爱情
9,10,1292722,灾难
10,11,1295644,剧情
11,12,1295644,动作
12,13,1295644,犯罪
13,14,1291561,剧情
14,15,1291561,动画
15,16,1291561,奇幻
16,17,1292063,剧情
17,18,1292063,喜剧
18,19,1292063,爱情
19,20,1292063,战争
20,21,1889243,剧情
21,22,1889243,科幻
22,23,1889243,冒险
23,24,3541415,剧情
24,25,3541415,科幻
25,26,3541415,悬疑
26,27,3541415,冒险
27,28,1295124,剧情
28,29,1295124,历史
29,30,1295124,战争
30,31,1292064,剧情
31,32,1292064,科幻
32,33,3011091,剧情
33,34,1292001,剧情
34,35,1292001,音乐
35,36,3793023,剧情
36,37,3793023,喜剧
37,38,3793023,爱情
38,39,3793023,歌舞
39,40,1291549,剧情
40,41,1291549,音乐
41,42,2131459,科幻
42,43,2131459,动画
43,44,2131459,冒险
44,45,25662329,喜剧
45,46,25662329,动画
46,47,25662329,冒险
47,48,1307914,剧情
48,49,1307914,惊悚
49,50,1307914,犯罪
50,51,1296141,剧情
51,52,1296141,悬疑
52,53,1296141,犯罪
53,54,1292213,喜剧
54,55,1292213,爱情
55,56,1292213,奇幻
56,57,1292213,古装
57,58,5912992,剧情
58,59,1291841,剧情
59,60,1291841,犯罪
60,61,6786002,剧情
61,62,6786002,喜剧
62,63,1849031,剧情
63,64,1849031,家庭
64,65,1849031,传记
65,66,20495023,喜剧
66,67,20495023,动画
67,68,20495023,音乐
68,69,20495023,奇幻
69,70,1293172,剧情
70,71,1293172,传记
71,72,1293172,历史
72,73,1291560,动画
73,74,1291560,奇幻
74,75,1291560,冒险
75,76,3319755,剧情
76,77,3319755,喜剧
77,78,3319755,爱情
78,79,1292365,剧情
79,80,1292365,家庭
80,81,1292365,历史
81,82,1295038,奇幻
82,83,1295038,冒险
83,84,1851857,剧情
84,85,1851857,动作
85,86,1851857,科幻
86,87,1851857,惊悚
87,88,1851857,犯罪
88,89,1291552,剧情
89,90,1291552,动作
90,91,1291552,奇幻
91,92,1291552,冒险
92,93,26752088,剧情
93,94,26752088,喜剧
94,95,1300267,剧情
95,96,1300267,爱情
96,97,1300267,历史
97,98,1300267,战争
98,99,2129039,剧情
99,100,2129039,喜剧
100,101,2129039,动画
101,102,2129039,冒险
102,103,21937452,剧情
103,104,1293182,剧情
104,105,1308807,动画
105,106,1308807,奇幻
106,107,1308807,冒险
107,108,30170448,剧情
108,109,3742360,剧情
109,110,3742360,喜剧
110,111,3742360,动作
111,112,3742360,西部
112,113,26387939,剧情
113,114,26387939,家庭
114,115,26387939,传记
115,116,26387939,运动
116,117,1305487,剧情
117,118,1305487,传记
118,119,1305487,犯罪
119,120,1291583,动画
120,121,1291583,奇幻
121,122,1291583,冒险
122,123,1291858,剧情
123,124,1291858,喜剧
124,125,25958717,剧情
125,126,25958717,家庭
126,127,25958717,冒险
